,first_hitter,inning,firsst_score,second_score,pre_high_LI,pre_get_point,pre_pinch_result,OBP,score_num
0,1,1,0,0,0,False,0,0.25,0
0,1,1,0,0,1.1,False,0,0.25,0
0,5,2,1,0,0.9,False,0,0.667,1
0,5,2,1,0,2.9,True,0,0.0,0
0,3,3,1,0,1.0,False,0,0.25,0
0,8,3,1,0,0.9,False,0,0.0,0
0,7,4,1,0,1.1,False,0,0.4,0
0,2,4,1,0,1.9,False,0,0.0,0
0,3,5,2,0,1.2,False,0,0.4,1
0,5,5,2,0,1.3,True,0,0.333,0
0,8,6,2,0,1.7,False,0,0.0,0
0,9,6,2,1,0.7,False,0,0.5,1
0,2,7,2,1,3.5,True,0,0.25,0
0,6,7,2,1,1.4,False,0,0.25,0
0,6,8,2,1,3.0,False,1,0.4,0
0,1,8,2,1,1.8,False,0,0.25,0
0,2,9,2,1,3.5,False,1,0.25,0
0,5,9,2,2,1.1,False,0,0.6,1
0,6,10,2,2,7.1,True,0,0.25,0
0,1,10,2,3,2.4,False,1,0.8,1
0,1,1,0,0,0,False,0,0.0,0
0,1,1,0,0,0.9,False,0,0.0,0
0,4,2,0,0,0.9,False,0,0.25,0
0,4,2,0,1,1.2,False,0,0.4,1
0,8,3,0,1,1.2,True,0,0.0,0
0,9,3,0,1,1.0,False,0,0.5,0
0,2,4,0,1,1.1,False,0,0.4,0
0,4,4,0,1,2.2,False,1,0.0,0
0,7,5,0,1,0.9,False,0,0.0,0
0,7,5,0,1,1.3,False,0,0.5,0
0,1,6,0,1,1.8,False,0,0.25,0
0,3,6,0,1,1.9,False,0,0.6,0
0,5,7,0,1,2.2,False,1,0.25,0
0,8,7,0,1,1.7,False,0,0.4,0
0,9,8,0,1,1.5,False,0,0.0,0
0,4,8,0,1,2.2,False,1,0.5,0
0,3,9,0,1,0.7,False,0,0.25,0
0,1,1,0,0,0,False,0,0.25,0
0,1,1,0,0,1.4,False,0,0.25,0
0,5,2,0,0,1.4,False,0,0.0,0
0,5,2,0,2,0.9,False,0,0.5,2
0,8,3,0,2,1.2,True,0,0.25,0
0,2,3,0,2,1.3,False,0,0.4,0
0,3,4,0,2,1.2,False,0,0.0,0
0,7,4,0,2,1.1,False,0,0.5,0
0,6,5,0,2,1.3,False,0,0.0,0
0,2,5,0,2,1.1,False,0,0.333,0
0,9,6,0,2,0.9,False,0,0.0,0
0,5,6,0,2,1.3,False,0,0.0,0
0,3,7,0,2,0.6,False,0,0.0,0
0,8,7,0,2,1.4,False,0,0.0,0
0,6,8,0,2,0.4,False,0,0.0,0
0,2,8,0,6,1.5,False,0,0.625,4
0,9,9,2,6,0.4,True,0,0.5,2
0,1,1,0,0,0,False,0,0.0,0
0,1,1,0,0,0.9,False,0,0.4,0
0,4,2,2,0,1.7,False,0,0.5,2
0,6,2,2,0,1.5,True,0,0.4,0
0,1,3,2,0,1.9,False,0,0.0,0
0,2,3,2,0,0.7,False,0,0.0,0
0,4,4,2,0,1.0,False,0,0.0,0
0,5,4,2,0,0.7,False,0,0.25,0
0,7,5,2,0,1.1,False,0,0.333,0
0,8,5,2,0,1.0,False,0,0.0,0
0,1,6,2,0,1.3,False,0,0.0,0
0,2,6,2,0,0.7,False,0,0.0,0
